
100,44   5,00   502,20
 98,98   5,00   494,91
106,27   5,00   531,36
102,49   5,00   512,46
 99,25   5,00   496,26
106,49   5,00   532,44
 98,50   5,00   492,48
106,76   5,00   533,79
104,54   5,00   522,72
113,67   5,00   568,35
116,80   5,00   584,01
120,15   5,00   600,75
117,72   5,00   588,60
118,53   5,00   592,65
111,51   5,00   557,55
118,58   5,00   592,92
119,39   5,00   596,97
116,53   5,00   582,66
119,07   5,00   595,35
118,37   5,00   591,84
116,21   5,00   581,04
115,24   5,00   576,18
113,62   5,00   568,08
107,78   5,00   538,92
 96,44   5,00   482,22
104,71   5,00   523,53
 96,23   5,00   481,14
 93,15   5,00   465,75
 95,04   5,00   475,20
 89,53   5,00   447,66
 87,48   5,00   437,40
 98,50   5,00   492,48
 94,77   5,00   473,85
 97,85   5,00   489,24
 97,69   5,00   488,43
 91,15   5,00   455,76
 95,20   5,00   476,01
 86,35   5,00   431,73
 95,36   5,00   476,82
 93,85   5,00   469,26
 88,07   5,00   440,37
 81,72   6,00   490,32
 87,70   6,00   526,23
 83,02   6,00   498,15
 85,27   6,00   511,65
 80,77   6,00   484,65
 76,90   6,00   461,43
 85,32   6,00   511,92
 80,50   6,00   483,03
 93,10   6,00   558,63
 78,75   6,00   472,50
 80,23   6,00   481,41
 77,76   6,00   466,56
 73,84   6,00   443,07
 81,36   6,00   488,16
 82,08   6,00   492,48
 72,81   6,00   436,86
 75,60   6,00   453,60
 76,32   6,00   457,92
 84,33   6,00   505,98
 79,20   6,00   475,20
 79,83   6,00   478,98
 90,00   6,00   540,00
 87,25   6,00   523,53
 80,95   6,00   485,73
 86,71   6,00   520,29
 83,97   6,00   503,82
 75,91   6,00   455,49
 77,94   6,00   467,64
 76,95   6,00   461,70
 80,73   6,00   484,38
 75,46   6,00   452,79
 80,50   6,00   483,03
 74,29   6,00   445,77
 69,93   6,00   419,58
 75,60   6,00   453,60
 87,61   6,00   525,69
 83,83   6,00   503,01
 86,31   6,00   517,86
 77,71   6,00   466,29
 78,12   6,00   468,72
 71,91   6,00   431,46
 79,07   7,00   553,50
 78,34   7,00   548,37
 74,29   7,00   520,02
 75,33   7,00   527,31
 71,16   7,00   498,15
 71,13   7,00   497,88
 74,56   7,00   521,91
 72,36   7,00   506,52
 70,16   7,00   491,13
 73,48   7,00   514,35
 78,80   7,00   551,61
 85,13   7,00   595,89
 85,20   7,00   596,43
 74,91   7,00   524,34
 66,57   7,00   466,02
 64,65   7,00   452,52
 63,22   7,00   442,53
 66,77   7,00   467,37
 65,03   7,00   455,22
 64,45   7,00   451,17
 69,66   7,00   487,62
 70,55   7,00   493,83
 67,62   7,00   473,31
 70,51   7,00   493,56
 74,94   7,00   524,61
 77,80   7,00   544,59
 76,26   7,00   533,79
 73,94   7,00   517,59
 70,97   7,00   496,80
 72,71   7,00   508,95
 71,97   7,00   503,82
 74,17   7,00   519,21
 74,67   7,00   522,72
 77,26   7,00   540,81
 74,48   7,00   521,37
 67,15   7,00   470,07
 72,36   7,00   506,52
 67,46   7,00   472,23
 71,36   7,00   499,50
 61,87   7,00   433,08
 71,78   7,00   502,47
 65,64   8,00   525,15
 60,82   8,00   486,54
 63,18   8,00   505,44
 64,56   8,00   516,51
 64,60   8,00   516,78
 59,10   8,00   472,77
 59,77   8,00   478,17
 60,24   8,00   481,95
 67,20   8,00   537,57
 64,16   8,00   513,27
 59,84   8,00   478,71
 62,94   8,00   503,55
 67,13   8,00   537,03
 66,35   8,00   530,82
 67,23   8,00   537,84
 66,25   8,00   530,01
 62,37   8,00   498,96
 64,83   8,00   518,67
 60,58   8,00   484,65
 66,05   8,00   528,39
 58,05   8,00   464,40
 64,29   8,00   514,35
 71,58   8,00   572,67
 65,85   8,00   526,77
 69,36   8,00   554,85
 63,96   8,00   511,65
 57,85   8,00   462,78
 58,02   8,00   464,13
 64,60   8,00   516,78
 70,37   8,00   562,95
 73,03   8,00   584,28
 66,28   8,00   530,28
 64,46   8,00   515,70
 62,74   8,00   501,93
 66,22   8,00   529,74
 64,33   8,00   514,62
 64,19   8,00   513,54
 62,23   8,00   497,88
 62,98   8,00   503,82
 58,66   8,00   469,26
 57,78   8,00   462,24
 58,83   9,00   529,47
 53,40   9,00   480,60
 59,28   9,00   533,52
 54,75   9,00   492,75
 49,71   9,00   447,39
 61,08   9,00   549,72
 59,07   9,00   531,63
 50,28   9,00   452,52
 57,66   9,00   518,94
 56,64   9,00   509,76
 59,64   9,00   536,76
 62,04   9,00   558,36
 56,94   9,00   512,46
 55,92   9,00   503,28
 58,20   9,00   523,80
 49,02   9,00   441,18
 56,61   9,00   509,49
 56,13   9,00   505,17
 53,40   9,00   480,60
 52,44   9,00   471,96
 54,72   9,00   492,48
 54,54   9,00   490,86
 57,63   9,00   518,67
 55,89   9,00   503,01
 50,19   9,00   451,71
 58,47   9,00   526,23
 55,89   9,00   503,01
 59,19   9,00   532,71
 54,36   9,00   489,24
 57,60   9,00   518,40
 54,33   9,00   488,97
 51,45   9,00   463,05
 61,47   9,00   553,23
 59,61   9,00   536,49
 50,40   9,00   453,60
 62,67   9,00   564,03
 53,28   9,00   479,52
 47,76   9,00   429,84
 57,96   9,00   521,64
 53,82   9,00   484,38
 52,14   9,00   469,26
 56,00  10,00   559,98
 48,65  10,00   486,54
 46,06  10,00   460,62
 48,92  10,00   489,24
 50,65  10,00   506,52
 56,00  10,00   559,98
 47,87  10,00   478,71
 44,68  10,00   446,85
 49,19  10,00   491,94
 47,33  10,00   473,31
 49,30  10,00   493,02
 51,57  10,00   515,70
 47,79  10,00   477,90
 51,65  10,00   516,51
 51,14  10,00   511,38
 50,87  10,00   508,68
 48,68  10,00   486,81
 44,68  10,00   446,85
 43,63  10,00   436,32
 49,14  10,00   491,40
 47,92  10,00   479,25
 48,76  10,00   487,62
 46,95  10,00   469,53
 49,71  10,00   497,07
 44,36  10,00   443,61
 49,98  10,00   499,77
 53,41  10,00   534,06
 43,82  10,00   438,21
 49,87  10,00   498,69
 48,06  10,00   480,60
 48,82  10,00   488,16
 54,08  10,00   540,81
 54,65  10,00   546,48
 50,27  10,00   502,74
 49,65  10,00   496,53
 50,81  10,00   508,14
 46,90  10,00   468,99
 44,31  10,00   443,07
 47,76  10,00   477,63
 48,79  10,00   487,89
 54,24  10,00   542,43
 49,43  11,00   543,78
 43,69  11,00   480,60
 45,85  11,00   504,36
 50,91  11,00   559,98
 43,67  11,00   480,33
 45,78  11,00   503,55
 42,12  11,00   463,32
 42,71  11,00   469,80
 44,55  11,00   490,05
 39,74  11,00   437,13
 41,43  11,00   455,76
 44,87  11,00   493,56
 45,80  11,00   503,82
 43,42  11,00   477,63
 48,99  11,00   538,92
 46,59  11,00   512,46
 47,42  11,00   521,64
 47,27  11,00   520,02
 51,25  11,00   563,76
 44,97  11,00   494,64
 46,22  11,00   508,41
 48,87  11,00   537,57
 46,07  11,00   506,79
 45,95  11,00   505,44
 49,90  11,00   548,91
 43,45  11,00   477,90
 52,65  11,00   579,15
 44,92  11,00   494,10
 45,34  11,00   498,69
 48,43  11,00   532,71
 49,83  11,00   548,10
 44,99  11,00   494,91
 45,41  11,00   499,50
 43,91  11,00   483,03
 44,18  11,00   486,00
 44,40  11,00   488,43
